placeDcid,placeName,Date:Median_Age_Person,Value:Median_Age_Person,Source:Median_Age_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
zip/10305,10305,2017,39.5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,36027,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,42311,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,15903,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10306,10306,2017,42.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,37370,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,54021,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,21566,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10307,10307,2017,37.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,46124,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,15528,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,5421,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10308,10308,2017,43,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,42256,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,30024,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,11247,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10309,10309,2017,40.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,44557,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33660,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,11882,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10310,10310,2017,36.5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,35920,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,23708,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,9311,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10311,10311,,,,,,,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10312,10312,2017,42.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,40708,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,61058,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,22218,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10314,10314,2017,41.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,36662,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,89960,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33113,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10451,10451,2017,33.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,17916,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,48240,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,19631,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10452,10452,2017,31.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,17014,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,77983,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,27018,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10453,10453,2017,30.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,15666,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,82232,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,28714,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10454,10454,2017,29.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,15470,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,38654,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,13988,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10455,10455,2017,31.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,16094,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,42558,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,14863,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10456,10456,2017,30.5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,15900,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,94667,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,31829,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10457,10457,2017,29.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,16379,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,75668,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,25665,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10458,10458,2017,28.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,16830,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,85157,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,28886,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
